T,O,H,L,C
1514764800,0.51198,0.50453,0.51559,0.50453
1514768400,0.5042,0.49941,0.5066,0.50371
1514772000,0.50336,0.49382,0.50602,0.49422
1514775600,0.49381,0.49215,0.50479,0.50322
1514779200,0.5032,0.49314,0.50351,0.49826
1514782800,0.49853,0.49789,0.51014,0.50803
1514786400,0.50779,0.50754,0.51689,0.51568
1514790000,0.51573,0.51213,0.52209,0.52189
1514793600,0.52184,0.52154,0.53198,0.52758
1514797200,0.52781,0.51446,0.53032,0.51566
1514800800,0.51547,0.51339,0.52275,0.51922
1514804400,0.51929,0.51403,0.52446,0.52389
1514808000,0.52359,0.52254,0.52834,0.52409
1514811600,0.5245,0.52203,0.52846,0.52675
1514815200,0.52689,0.52453,0.53383,0.52699
1514818800,0.52664,0.52363,0.53134,0.52437
1514822400,0.52435,0.50812,0.52476,0.50886
1514826000,0.50871,0.49821,0.50911,0.50354
1514829600,0.5037,0.50149,0.5115,0.50814
1514833200,0.50859,0.50511,0.51153,0.50989
1514836800,0.50968,0.50838,0.52321,0.52208
1514840400,0.52223,0.51763,0.52645,0.52026
1514844000,0.52023,0.51829,0.52883,0.52313
1514847600,0.52363,0.51849,0.52965,0.51849
1514851200,0.51832,0.51568,0.53193,0.53131
1514854800,0.53174,0.51649,0.53325,0.51988
1514858400,0.52014,0.51542,0.52501,0.51542
1514862000,0.51591,0.51503,0.525,0.52354
1514865600,0.52307,0.52146,0.52776,0.52606
1514869200,0.5265,0.52536,0.53465,0.53156
1514872800,0.532,0.52779,0.53584,0.52917
1514876400,0.5289,0.52699,0.53604,0.53532
1514880000,0.53557,0.53079,0.53981,0.5319
1514883600,0.53238,0.52011,0.53722,0.5248
1514887200,0.52464,0.52183,0.52834,0.52698
1514890800,0.52713,0.51835,0.52745,0.5271
1514894400,0.52712,0.52431,0.53751,0.53533
1514898000,0.53497,0.52857,0.54261,0.52857
1514901600,0.52831,0.51804,0.53076,0.52284
1514905200,0.52293,0.51793,0.53282,0.53253
1514908800,0.53231,0.53095,0.53856,0.53574
1514912400,0.53576,0.52687,0.53717,0.52687
1514916000,0.52685,0.52637,0.53604,0.534
1514919600,0.53351,0.52894,0.53665,0.53471
1514923200,0.53448,0.52752,0.53796,0.52822
1514926800,0.52851,0.51631,0.53156,0.51886
1514930400,0.51883,0.51014,0.52041,0.51625
1514934000,0.51629,0.51629,0.52606,0.52208
1514937600,0.52201,0.51969,0.52826,0.52758
1514941200,0.5274,0.51887,0.52794,0.52564
1514944800,0.5256,0.52527,0.53165,0.5284
1514948400,0.52885,0.52269,0.53463,0.53312
1514952000,0.53316,0.53291,0.54416,0.53826
1514955600,0.53816,0.53364,0.54105,0.53616
1514959200,0.53569,0.52876,0.53859,0.53049
1514962800,0.53024,0.51934,0.53076,0.52598
1514966400,0.52609,0.51892,0.52718,0.51892
1514970000,0.51906,0.51523,0.51991,0.51787
1514973600,0.51815,0.50873,0.51815,0.51682
1514977200,0.51727,0.5128,0.51952,0.51631
1514980800,0.51606,0.50799,0.51673,0.50968
1514984400,0.5094,0.50823,0.51655,0.51428
1514988000,0.51398,0.51146,0.52091,0.52042
1514991600,0.52074,0.5094,0.52257,0.50951
1514995200,0.50998,0.5081,0.51583,0.51259
1514998800,0.51238,0.50273,0.5142,0.5053
1515002400,0.50506,0.50168,0.51128,0.50646
1515006000,0.50657,0.50524,0.51262,0.51029
1515009600,0.50984,0.50726,0.51704,0.51242
1515013200,0.51262,0.51139,0.52364,0.51924
1515016800,0.51956,0.51693,0.52217,0.51836
1515020400,0.51864,0.51305,0.51934,0.51407
1515024000,0.51392,0.51143,0.51736,0.51566
1515027600,0.51598,0.51508,0.52748,0.52621
1515031200,0.52633,0.52117,0.52782,0.52309
1515034800,0.5227,0.52191,0.53729,0.53526
1515038400,0.53531,0.53217,0.54085,0.54085
1515042000,0.54095,0.53266,0.54162,0.5344
1515045600,0.53427,0.53406,0.54077,0.53745
1515049200,0.53709,0.52896,0.53785,0.53042
1515052800,0.53003,0.52928,0.54172,0.54167
1515056400,0.54179,0.54179,0.54774,0.54738
1515060000,0.54734,0.54601,0.55864,0.55743
1515063600,0.55725,0.5502,0.55855,0.55678
1515067200,0.55725,0.55363,0.56745,0.56669
1515070800,0.5672,0.5658,0.57184,0.56885
1515074400,0.56907,0.56748,0.57626,0.57396
1515078000,0.57388,0.57148,0.57788,0.57574
1515081600,0.57547,0.56734,0.57854,0.578
1515085200,0.5781,0.57294,0.58031,0.57365
1515088800,0.57319,0.5662,0.57443,0.56921
1515092400,0.56918,0.56363,0.56936,0.5671
1515096000,0.56696,0.55799,0.56807,0.56605
1515099600,0.56628,0.56233,0.56781,0.56583
1515103200,0.56555,0.54842,0.56575,0.54865
1515106800,0.54837,0.54773,0.55579,0.55536
1515110400,0.55561,0.54641,0.55709,0.54808
1515114000,0.54766,0.54319,0.54893,0.54428
1515117600,0.54421,0.53439,0.5458,0.53505
1515121200,0.53542,0.53142,0.53772,0.53405
1515124800,0.53397,0.52477,0.53397,0.53171
1515128400,0.53193,0.52275,0.5354,0.52771
1515132000,0.528,0.52615,0.53261,0.5318
1515135600,0.53191,0.52987,0.53775,0.53449
1515139200,0.53405,0.52926,0.53733,0.53549
1515142800,0.5352,0.53512,0.54827,0.54676
1515146400,0.54639,0.54461,0.55973,0.55973
1515150000,0.55975,0.55655,0.56587,0.5653
1515153600,0.56567,0.56239,0.57138,0.56686
1515157200,0.56693,0.55736,0.56893,0.56077
1515160800,0.56128,0.55764,0.57141,0.56993
1515164400,0.56957,0.56302,0.57476,0.56402
1515168000,0.56409,0.5607,0.56858,0.56858
1515171600,0.56813,0.56009,0.56874,0.56579
1515175200,0.56548,0.55507,0.56607,0.55592
1515178800,0.55589,0.54987,0.55877,0.5515
1515182400,0.55143,0.54445,0.55332,0.55129
1515186000,0.55093,0.54468,0.55572,0.54696
1515189600,0.54712,0.54587,0.5517,0.55027
1515193200,0.5504,0.54838,0.56102,0.56054
1515196800,0.56057,0.55496,0.56596,0.56425
1515200400,0.56458,0.56224,0.57091,0.56925
1515204000,0.56901,0.56353,0.57039,0.5679
1515207600,0.56744,0.56735,0.57921,0.57575
1515211200,0.57579,0.57579,0.59971,0.59971
1515214800,0.59921,0.59155,0.60598,0.59155
1515218400,0.59153,0.58759,0.59398,0.59184
1515222000,0.59176,0.58177,0.59314,0.58192
1515225600,0.58168,0.57581,0.58368,0.57867
1515229200,0.57871,0.57505,0.58458,0.58176
1515232800,0.58143,0.5802,0.5904,0.5881
1515236400,0.58837,0.58837,0.59984,0.59866
1515240000,0.59853,0.59492,0.60103,0.59903
1515243600,0.59934,0.59561,0.605,0.6049
1515247200,0.60521,0.59943,0.60692,0.60156
1515250800,0.60156,0.60083,0.61224,0.61094
1515254400,0.61056,0.60989,0.62604,0.61815
1515258000,0.61857,0.61428,0.62812,0.62688
1515261600,0.62731,0.61735,0.63077,0.62282
1515265200,0.62274,0.61423,0.62382,0.6229
1515268800,0.62258,0.62126,0.63003,0.63003
1515272400,0.63024,0.62004,0.6321,0.62168
1515276000,0.62164,0.61099,0.62314,0.61337
1515279600,0.61297,0.61108,0.61866,0.61677
1515283200,0.61637,0.61243,0.62213,0.62213
1515286800,0.62241,0.61909,0.62821,0.61988
1515290400,0.62038,0.61905,0.63292,0.63171
1515294000,0.63196,0.62841,0.63724,0.63169
1515297600,0.63168,0.63092,0.64032,0.63784
1515301200,0.6378,0.62689,0.64063,0.62712
1515304800,0.62662,0.62508,0.6391,0.63904
1515308400,0.63937,0.62848,0.64024,0.63347
1515312000,0.63379,0.62466,0.63614,0.62505
1515315600,0.62487,0.61468,0.62487,0.61723
1515319200,0.61721,0.61084,0.61904,0.61671
1515322800,0.6163,0.61535,0.62563,0.61649
1515326400,0.61625,0.61057,0.61915,0.61069
1515330000,0.61036,0.60978,0.6237,0.62266
1515333600,0.62289,0.61735,0.62344,0.61792
1515337200,0.61777,0.60888,0.61829,0.61548
1515340800,0.61588,0.6105,0.62075,0.61415
1515344400,0.61405,0.60582,0.61659,0.60877
1515348000,0.60851,0.59714,0.6096,0.60534
1515351600,0.60499,0.60458,0.61005,0.60813
1515355200,0.60763,0.59072,0.60763,0.59716
1515358800,0.59677,0.58536,0.59839,0.58536
1515362400,0.58503,0.5778,0.58969,0.57867
1515366000,0.57862,0.57771,0.58824,0.58643
1515369600,0.58597,0.58287,0.59537,0.59479
1515373200,0.59446,0.59239,0.60309,0.60215
1515376800,0.60176,0.58993,0.60373,0.59066
1515380400,0.59052,0.59052,0.59879,0.59441
1515384000,0.59436,0.59123,0.59778,0.59147
1515387600,0.59167,0.58987,0.60205,0.59878
1515391200,0.59841,0.59758,0.60544,0.60544
1515394800,0.60522,0.60483,0.61339,0.61018
1515398400,0.61067,0.60436,0.61191,0.60656
1515402000,0.60648,0.60536,0.6118,0.6064
1515405600,0.60628,0.60282,0.61333,0.60322
1515409200,0.60321,0.60127,0.61358,0.61287
1515412800,0.6125,0.60855,0.62104,0.61956
1515416400,0.6192,0.61785,0.63092,0.63042
1515420000,0.63024,0.63024,0.64283,0.6422
1515423600,0.64242,0.64242,0.65046,0.64701
1515427200,0.64685,0.64098,0.6496,0.64671
1515430800,0.64716,0.63907,0.64826,0.64206
1515434400,0.64236,0.63844,0.64984,0.64885
1515438000,0.64849,0.64395,0.65285,0.65096
1515441600,0.65091,0.65027,0.6625,0.66172
1515445200,0.66142,0.65857,0.66992,0.66288
1515448800,0.66338,0.65574,0.66463,0.6583
1515452400,0.65869,0.65865,0.67084,0.66785
1515456000,0.6682,0.66422,0.6725,0.66555
1515459600,0.66594,0.65346,0.66708,0.65493
1515463200,0.65448,0.65257,0.65954,0.65912
1515466800,0.65896,0.65032,0.65896,0.65032
1515470400,0.65062,0.6411,0.65363,0.64122
1515474000,0.64108,0.62398,0.64241,0.62647
1515477600,0.62674,0.62425,0.63219,0.62999
1515481200,0.62972,0.62758,0.63234,0.6295
1515484800,0.62925,0.62535,0.63256,0.63198
1515488400,0.63203,0.63067,0.63897,0.63436
1515492000,0.63399,0.62907,0.63684,0.63514
